ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากสถานะล่าสุด(วัน),ค่า Median (วัน),ค่า Mean (วัน),ค่า Percentile 90 (วัน)
2024-ERKMT4,9 ธ.ค. 67,13:18 น.,รอรับเรื่อง 50 นาทีที่แล้ว,เขตสะพานสูง,ถนนทรุดตัว และเป็นถนนเส้นหลักของหมู่บ้าน เข้าออกทุกครั้งต้องผ่านเส้นนี้ทุกครั้ง หลีกเลี่ยงไม่ได้มีความลำบากเป็นอย่างมาก ถนนเป็นหลุมเป็นบ่อยิ่งกว่าดวงจันทร์ ไม่มีใครเข้ามาช่วยเหลือเลย กันยา ปี 2565 เหมือนว่า จะมีการเปิดคำขอ ให้หมู่บ้านเคหะธานี 4 อยู่ในการดูแลของกทม ชัชชาติเคยเข้ามาครั้งหนึ่งแต่เข้าเพียงแค่หน้าหมู่บ้านเท่านั้น ตรงปั๊มน้ำเท่านั้นไม่ได้เข้ามาถึงถนน หากข้ามถนน เข้ามาเพียงเล็กน้อยจะทราบถึงปัญหาค่ะถนนได้เป็นแนวยาวไม่ใช่รูปที่ถ่ายกันซ้ำๆนะคะแต่ถ่ายหลายรูปมาติดต่อกันเพราะเป็นแนวยาวมากจริงๆรบกวนด้วยค่ะ,"เขตสะพานสูง, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,2024-12-09,13:18 น.,รอรับเรื่อง,0,,,
2024-84N36U,9 ธ.ค. 67,11:06 น.,รอรับเรื่อง 3 ชั่วโมงที่แล้ว,เขตสะพานสูง แขวงทับช้าง,มีผู้รับเหมามาลอกท่อ แต่ไม่ยอมเปิดฝาท่อครับ ฝาก กทม .ตามงานให้ด้วยครับ หน้าร้านขนมถ้วย,"เขตสะพานสูง, กรุงเทพมหานคร",อุปกรณ์ชำรุด,รอรับเรื่อง,2024-12-09,11:06 น.,รอรับเรื่อง,0,,,
2024-LFXPLX,9 ธ.ค. 67,10:58 น.,รอรับเรื่อง 3 ชั่วโมงที่แล้ว,เขตสะพานสูง แขวงทับช้าง,มีผู้รับเหมามาลอกท่อ แต่ไม่ยอมเปิดท่อครับ ฝาก กทม .ตามงานให้ด้วยครับ หน้าตึกตัสมิน,"เขตสะพานสูง, กรุงเทพมหานคร",อุปกรณ์ชำรุด,รอรับเรื่อง,2024-12-09,10:58 น.,รอรับเรื่อง,0,,,
2024-9RLRNW,9 ธ.ค. 67,10:56 น.,รอรับเรื่อง 3 ชั่วโมงที่แล้ว,เขตสะพานสูง,ถนนพังเป็นหลุม,"เขตสะพานสูง, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,2024-12-09,10:56 น.,รอรับเรื่อง,0,,,
2024-BCY6CW,9 ธ.ค. 67,07:30 น.,รอรับเรื่อง 6 ชั่วโมงที่แล้ว,เขตสะพานสูง แขวงทับช้าง,เจอรถซ้อนคันทำให้รถติดมากช่วงเช้า,"เขตสะพานสูง, กรุงเทพมหานคร",ผิดกฎจราจร,รอรับเรื่อง,2024-12-09,07:30 น.,รอรับเรื่อง,0,,,
2023-CM3844,5 ส.ค. 66,13:31 น.,รอรับเรื่อง 492 วันที่แล้ว,เขตสะพานสูง แขวงราษฎร์พัฒนา,ปัญ หา ถนนพัง ตรง จุดตัด มอเตอร์เวย์ กับถนนสุขาภิบาล 3 เป็นปัญหา มาเนิ่นนาน ไม่ต่างจากปัญหาจีนสีเทาหรือนายทุนผูกขาด เหมือนตบหน้าตำรวจกล่าวคือแม้ว่าจะมีป้ายห้ามรถ มากกว่า 6 ล้อยูเทิร์น แต่ จะเห็นได้ว่ารถ 18-24 ล้อยูเทิร์นทั้งวัน ขนาดมีป้อมตำรวจอยู่ ตรงนั้นแท้ๆ ไม่เคยเห็นตำรวจ ออกจากป้อมมาจับเลย ทำให้ถนนตรงจุดกลับรถดังกล่าว เป็นหลุมเป็นบ่อเยอะมากๆ ทั้งปี ครบปีก็มี มาปะผุใหม่ ทีนึง เห็นแบบนี้มาเป็น10 ปีไม่เคยมีใครแก้ไขได้ทั้งที่แก้ไขง่ายนิดเดียว แค่ให้ตำรวจกวดขันอย่างเข้มงวดหรือตั้งกล้อง แค่นั้นเอง.,"กรมทางหลวง, เขตสะพานสูง, กรุงเทพมหานคร, เพื่อนชัชชาติ",ถนน,เปิดเรื่องใหม่,2023-08-07,16:03 น.,ใช้เวลา 2 วัน 2 ชม.,490,,,
2023-KGW2NY,30 มี.ค. 66,15:11 น.,รอรับเรื่อง 619 วันที่แล้ว,เขตสะพานสูง แขวงสะพานสูง,ไฟส่องทางในซอย ดับเกือบทุกต้น,"การไฟฟ้านครหลวง เขตลาดกระบัง, ฝ่ายโยธา เขตสะพานสูง, เขตสะพานสูง, กรุงเทพมหานคร, เพื่อนชัชชาติ, การไฟฟ้านครหลวง MEA",อื่นๆ,เปิดเรื่องใหม่,2023-07-24,22:06 น.,ใช้เวลา 116 วัน 6 ชม.,504,,,
2023-NVUQL8,6 มี.ค. 66,19:15 น.,รอรับเรื่อง 643 วันที่แล้ว,เขตสะพานสูง แขวงสะพานสูง,ไฟถนนดับ1ดวง ต้นหมายเลข29 มีป้ายหาเสียงปิดทับอยู่,"การไฟฟ้านครหลวง เขตลาดกระบัง, ฝ่ายโยธา เขตสะพานสูง, เขตสะพานสูง, กรุงเทพมหานคร, เพื่อนชัชชาติ, การไฟฟ้านครหลวง MEA",อื่นๆ,เปิดเรื่องใหม่,2023-07-24,22:28 น.,ใช้เวลา 140 วัน 3 ชม.,504,,,
2023-8XGEN3,21 ก.พ. 66,18:53 น.,รอรับเรื่อง 656 วันที่แล้ว,เขตสะพานสูง แขวงสะพานสูง,ไฟฟ้า ส่องสว่าง ใกล้ชุมชน,"การไฟฟ้านครหลวง เขตลาดกระบัง, ฝ่ายโยธา เขตสะพานสูง, เขตสะพานสูง, กรุงเทพมหานคร, เพื่อนชัชชาติ, การไฟฟ้านครหลวง MEA",อื่นๆ,เปิดเรื่องใหม่,2023-05-25,21:57 น.,ใช้เวลา 93 วัน 3 ชม.,564,,,
2022-LBDZZG,28 ก.ค. 65,14:24 น.,รอรับเรื่อง 864 วันที่แล้ว,เขตสะพานสูง,หมู่บ้านเอื้ออาทรลาดกระบัง 2 เฟส 2 บ้านเลขที่ 1367/27 ห้อง 27 ชั้น 3 ตึก 98 เฟส 2,"เขตสะพานสูง, สน.จรเข้น้อย, เขตลาดกระบัง, สำนักงานตำรวจแห่งชาติ (Royal Thai Police), กองบัญชาการตำรวจนครบาล (บช.น.), กองบังคับการตำรวจนครบาล 4 (บก.น.4), กรุงเทพมหานคร, เพื่อนชัชชาติ,",อื่นๆ,ส่งต่อ,2023-06-12,20:54 น.,ใช้เวลา 318 วัน 9 ชม.,546,,,
